time,open,high,low,close,volume,range
2013-12-27 00:00:00,737000.0,755000.0,737000.0,755000.0,3.78,9000.0
2013-12-28 00:00:00,750000.0,750000.0,750000.0,750000.0,12.0,0.0
2013-12-29 00:00:00,750000.0,750000.0,728000.0,739000.0,19.058,11000.0
2013-12-30 00:00:00,740000.0,772000.0,740000.0,768000.0,9.488973,16000.0
2013-12-31 00:00:00,768000.0,800000.0,763000.0,768000.0,18.65035033,18500.0
2014-01-01 00:00:00,768000.0,795000.0,765000.0,777000.0,65.38033381,15000.0
2014-01-02 00:00:00,776000.0,788000.0,773000.0,778000.0,83.20397752,7500.0
2014-01-03 00:00:00,778000.0,840000.0,774000.0,834000.0,124.33029182,33000.0
2014-01-04 00:00:00,831000.0,846000.0,819000.0,846000.0,107.75704665,13500.0
2014-01-05 00:00:00,846000.0,925000.0,845000.0,925000.0,140.70979378,40000.0
2014-01-06 00:00:00,928000.0,1050000.0,920000.0,1010000.0,222.72262804,65000.0
2014-01-07 00:00:00,1001000.0,1026000.0,900000.0,935000.0,169.05011477,63000.0
2014-01-08 00:00:00,935000.0,960000.0,825000.0,897000.0,194.55961145,67500.0
2014-01-09 00:00:00,880000.0,909000.0,860000.0,865000.0,140.51522769,24500.0
2014-01-10 00:00:00,875000.0,905000.0,862000.0,890000.0,126.60366906,21500.0
2014-01-11 00:00:00,889000.0,950000.0,880000.0,932000.0,144.63517814,35000.0
2014-01-12 00:00:00,935000.0,952000.0,904000.0,910000.0,129.84153237,24000.0
2014-01-13 00:00:00,920000.0,925000.0,872000.0,881000.0,105.8332088,26500.0
2014-01-14 00:00:00,877000.0,905000.0,872000.0,874000.0,119.62287814,16500.0
2014-01-15 00:00:00,889000.0,918000.0,875000.0,905000.0,138.06056544,21500.0
2014-01-16 00:00:00,895000.0,940000.0,892000.0,910000.0,216.14782104,24000.0
2014-01-17 00:00:00,904000.0,913000.0,872000.0,885000.0,201.18492756,20500.0
2014-01-18 00:00:00,888000.0,906000.0,868000.0,885000.0,133.53712889,19000.0
2014-01-19 00:00:00,887000.0,899000.0,870000.0,893000.0,147.45643678,14500.0
2014-01-20 00:00:00,893000.0,914000.0,890000.0,898000.0,198.08278124,12000.0
2014-01-21 00:00:00,898000.0,906000.0,891000.0,899000.0,204.65155445,7500.0
2014-01-22 00:00:00,895000.0,904000.0,891000.0,892000.0,228.7038422,6500.0
2014-01-23 00:00:00,895000.0,898000.0,886000.0,888000.0,223.74829689,6000.0
2014-01-24 00:00:00,891000.0,891000.0,848000.0,870000.0,358.41597676,21500.0
2014-01-25 00:00:00,864000.0,874000.0,858000.0,870000.0,192.06581564,8000.0
2014-01-26 00:00:00,867000.0,894000.0,866000.0,892000.0,267.95278315,14000.0
2014-01-27 00:00:00,893000.0,903000.0,879000.0,886000.0,285.27768931,12000.0
2014-01-28 00:00:00,880000.0,885000.0,848000.0,879000.0,244.29252255,18500.0
2014-01-29 00:00:00,871000.0,876000.0,857000.0,864000.0,130.50348362,9500.0
2014-01-30 00:00:00,865000.0,874000.0,863000.0,874000.0,121.4175575,5500.0
2014-01-31 00:00:00,874000.0,886000.0,874000.0,883000.0,110.71834803,6000.0
